ticker,date,signal_price,signal_news,fundamental_signal,final_signal
AAPL,2025-08-12,buy,sell,Hold,hold
AAPL,2025-08-13,buy,sell,Hold,hold
AAPL,2025-08-14,hold,sell,Hold,sell
AAPL,2025-08-15,sell,sell,Hold,sell
AAPL,2025-08-18,hold,sell,Hold,sell
AAPL,2025-08-19,hold,sell,Hold,sell
AAPL,2025-08-20,sell,sell,Hold,sell
AAPL,2025-08-21,sell,sell,Hold,sell
AAPL,2025-08-22,buy,sell,Hold,hold
AAPL,2025-08-25,hold,sell,Hold,sell
AAPL,2025-08-26,buy,sell,Hold,hold
AAPL,2025-08-27,buy,buy,Hold,buy
AAPL,2025-08-28,buy,buy,Hold,buy
AAPL,2025-08-29,hold,buy,Hold,buy
MSFT,2025-06-02,hold,sell,Hold,sell
MSFT,2025-06-03,hold,sell,Hold,sell
MSFT,2025-06-04,hold,sell,Hold,sell
MSFT,2025-06-05,hold,sell,Hold,sell
MSFT,2025-06-06,hold,sell,Hold,sell
MSFT,2025-06-09,buy,sell,Hold,hold
MSFT,2025-06-10,sell,sell,Hold,sell
MSFT,2025-06-11,buy,sell,Hold,hold
MSFT,2025-06-12,buy,sell,Hold,hold
MSFT,2025-06-13,sell,sell,Hold,sell
MSFT,2025-06-16,buy,sell,Hold,hold
MSFT,2025-06-17,hold,sell,Hold,sell
MSFT,2025-06-18,buy,sell,Hold,hold
MSFT,2025-06-20,sell,sell,Hold,sell
MSFT,2025-06-23,buy,sell,Hold,hold
MSFT,2025-06-24,buy,sell,Hold,hold
MSFT,2025-06-25,buy,sell,Hold,hold
MSFT,2025-06-26,buy,sell,Hold,hold
MSFT,2025-06-27,sell,sell,Hold,sell
MSFT,2025-06-30,buy,sell,Hold,hold
MSFT,2025-07-01,sell,sell,Hold,sell
MSFT,2025-07-02,hold,sell,Hold,sell
MSFT,2025-07-03,buy,sell,Hold,hold
MSFT,2025-07-07,hold,sell,Hold,sell
MSFT,2025-07-08,hold,sell,Hold,sell
MSFT,2025-07-09,buy,sell,Hold,hold
MSFT,2025-07-10,sell,sell,Hold,sell
MSFT,2025-07-11,buy,sell,Hold,hold
MSFT,2025-07-14,hold,sell,Hold,sell
MSFT,2025-07-15,buy,sell,Hold,hold
MSFT,2025-07-16,hold,sell,Hold,sell
MSFT,2025-07-17,buy,sell,Hold,hold
MSFT,2025-07-18,sell,sell,Hold,sell
MSFT,2025-07-21,hold,sell,Hold,sell
MSFT,2025-07-22,sell,sell,Hold,sell
MSFT,2025-07-23,hold,sell,Hold,sell
MSFT,2025-07-24,buy,sell,Hold,hold
MSFT,2025-07-25,buy,sell,Hold,hold
MSFT,2025-07-28,hold,sell,Hold,sell
MSFT,2025-07-29,hold,buy,Hold,buy
MSFT,2025-07-30,hold,buy,Hold,buy
MSFT,2025-07-31,buy,buy,Hold,buy
MSFT,2025-08-01,sell,buy,Hold,hold
MSFT,2025-08-04,buy,buy,Hold,buy
MSFT,2025-08-05,sell,buy,Hold,hold
MSFT,2025-08-06,hold,buy,Hold,buy
MSFT,2025-08-07,sell,buy,Hold,hold
MSFT,2025-08-08,hold,buy,Hold,buy
MSFT,2025-08-11,hold,buy,Hold,buy
MSFT,2025-08-12,buy,buy,Hold,buy
MSFT,2025-08-13,sell,buy,Hold,hold
MSFT,2025-08-14,buy,buy,Hold,buy
MSFT,2025-08-15,sell,buy,Hold,hold
MSFT,2025-08-18,sell,buy,Hold,hold
MSFT,2025-08-19,sell,buy,Hold,hold
MSFT,2025-08-20,sell,buy,Hold,hold
MSFT,2025-08-21,sell,buy,Hold,hold
MSFT,2025-08-22,buy,buy,Hold,buy
MSFT,2025-08-25,sell,buy,Hold,hold
MSFT,2025-08-26,sell,buy,Hold,hold
MSFT,2025-08-27,buy,buy,Hold,buy
MSFT,2025-08-28,buy,buy,Hold,buy
MSFT,2025-08-29,sell,buy,Hold,hold
NVDA,2025-06-02,hold,sell,Hold,sell
NVDA,2025-06-03,hold,sell,Hold,sell
NVDA,2025-06-04,hold,sell,Hold,sell
NVDA,2025-06-05,hold,sell,Hold,sell
NVDA,2025-06-06,hold,sell,Hold,sell
NVDA,2025-06-09,buy,sell,Hold,hold
NVDA,2025-06-10,buy,sell,Hold,hold
NVDA,2025-06-11,sell,sell,Hold,sell
NVDA,2025-06-12,buy,sell,Hold,hold
NVDA,2025-06-13,sell,sell,Hold,sell
NVDA,2025-06-16,buy,sell,Hold,hold
NVDA,2025-06-17,hold,sell,Hold,sell
NVDA,2025-06-18,buy,sell,Hold,hold
NVDA,2025-06-20,sell,sell,Hold,sell
NVDA,2025-06-23,hold,sell,Hold,sell
NVDA,2025-06-24,buy,sell,Hold,hold
NVDA,2025-06-25,buy,sell,Hold,hold
NVDA,2025-06-26,hold,buy,Hold,buy
NVDA,2025-06-27,buy,buy,Hold,buy
NVDA,2025-06-30,hold,buy,Hold,buy
NVDA,2025-07-01,sell,buy,Hold,hold
NVDA,2025-07-02,buy,buy,Hold,buy
NVDA,2025-07-03,buy,buy,Hold,buy
NVDA,2025-07-07,hold,buy,Hold,buy
NVDA,2025-07-08,buy,buy,Hold,buy
NVDA,2025-07-09,buy,buy,Hold,buy
NVDA,2025-07-10,buy,buy,Hold,buy
NVDA,2025-07-11,buy,buy,Hold,buy
NVDA,2025-07-14,sell,buy,Hold,hold
NVDA,2025-07-15,buy,buy,Hold,buy
NVDA,2025-07-16,hold,buy,Hold,buy
NVDA,2025-07-17,buy,buy,Hold,buy
NVDA,2025-07-18,hold,buy,Hold,buy
NVDA,2025-07-21,hold,buy,Hold,buy
NVDA,2025-07-22,sell,buy,Hold,hold
NVDA,2025-07-23,buy,buy,Hold,buy
NVDA,2025-07-24,buy,buy,Hold,buy
NVDA,2025-07-25,hold,buy,Hold,buy
NVDA,2025-07-28,buy,buy,Hold,buy
NVDA,2025-07-29,sell,buy,Hold,hold
NVDA,2025-07-30,buy,buy,Hold,buy
NVDA,2025-07-31,sell,buy,Hold,hold
NVDA,2025-08-01,sell,buy,Hold,hold
NVDA,2025-08-04,buy,buy,Hold,buy
NVDA,2025-08-05,hold,buy,Hold,buy
NVDA,2025-08-06,buy,buy,Hold,buy
NVDA,2025-08-07,buy,sell,Hold,hold
NVDA,2025-08-08,buy,sell,Hold,hold
NVDA,2025-08-11,sell,sell,Hold,sell
NVDA,2025-08-12,buy,buy,Hold,buy
NVDA,2025-08-13,sell,buy,Hold,hold
NVDA,2025-08-14,buy,hold,Hold,buy
NVDA,2025-08-15,sell,hold,Hold,sell
NVDA,2025-08-18,buy,hold,Hold,buy
NVDA,2025-08-19,sell,hold,Hold,sell
NVDA,2025-08-20,hold,hold,Hold,hold
NVDA,2025-08-21,hold,hold,Hold,hold
NVDA,2025-08-22,buy,hold,Hold,buy
NVDA,2025-08-25,buy,hold,Hold,buy
NVDA,2025-08-26,buy,hold,Hold,buy
NVDA,2025-08-27,hold,hold,Hold,hold
NVDA,2025-08-28,sell,hold,Hold,sell
NVDA,2025-08-29,sell,hold,Hold,sell
TSLA,2025-06-02,hold,,Hold,hold
TSLA,2025-06-03,hold,,Hold,hold
TSLA,2025-06-04,hold,,Hold,hold
TSLA,2025-06-05,hold,,Hold,hold
TSLA,2025-06-06,hold,sell,Hold,sell
TSLA,2025-06-09,buy,sell,Hold,hold
TSLA,2025-06-10,buy,sell,Hold,hold
TSLA,2025-06-11,hold,sell,Hold,sell
TSLA,2025-06-12,sell,sell,Hold,sell
TSLA,2025-06-13,buy,sell,Hold,hold
TSLA,2025-06-16,buy,sell,Hold,hold
TSLA,2025-06-17,sell,sell,Hold,sell
TSLA,2025-06-18,buy,sell,Hold,hold
TSLA,2025-06-20,hold,sell,Hold,sell
TSLA,2025-06-23,buy,sell,Hold,hold
TSLA,2025-06-24,hold,sell,Hold,sell
TSLA,2025-06-25,sell,sell,Hold,sell
TSLA,2025-06-26,hold,sell,Hold,sell
TSLA,2025-06-27,hold,sell,Hold,sell
TSLA,2025-06-30,sell,sell,Hold,sell
TSLA,2025-07-01,sell,sell,Hold,sell
TSLA,2025-07-02,buy,sell,Hold,hold
TSLA,2025-07-03,hold,sell,Hold,sell
TSLA,2025-07-07,sell,sell,Hold,sell
TSLA,2025-07-08,buy,sell,Hold,hold
TSLA,2025-07-09,hold,sell,Hold,sell
TSLA,2025-07-10,buy,sell,Hold,hold
TSLA,2025-07-11,buy,sell,Hold,hold
TSLA,2025-07-14,buy,sell,Hold,hold
TSLA,2025-07-15,sell,sell,Hold,sell
TSLA,2025-07-16,buy,sell,Hold,hold
TSLA,2025-07-17,hold,sell,Hold,sell
TSLA,2025-07-18,buy,sell,Hold,hold
TSLA,2025-07-21,hold,sell,Hold,sell
TSLA,2025-07-22,buy,sell,Hold,hold
TSLA,2025-07-23,hold,sell,Hold,sell
TSLA,2025-07-24,sell,sell,Hold,sell
TSLA,2025-07-25,buy,sell,Hold,hold
TSLA,2025-07-28,buy,sell,Hold,hold
TSLA,2025-07-29,hold,sell,Hold,sell
TSLA,2025-07-30,hold,sell,Hold,sell
TSLA,2025-07-31,sell,sell,Hold,sell
TSLA,2025-08-01,sell,sell,Hold,sell
TSLA,2025-08-04,buy,sell,Hold,hold
TSLA,2025-08-05,hold,sell,Hold,sell
TSLA,2025-08-06,buy,sell,Hold,hold
TSLA,2025-08-07,buy,sell,Hold,hold
TSLA,2025-08-08,buy,sell,Hold,hold
TSLA,2025-08-11,buy,sell,Hold,hold
TSLA,2025-08-12,buy,sell,Hold,hold
TSLA,2025-08-13,hold,sell,Hold,sell
TSLA,2025-08-14,sell,sell,Hold,sell
TSLA,2025-08-15,sell,sell,Hold,sell
TSLA,2025-08-18,buy,sell,Hold,hold
TSLA,2025-08-19,sell,sell,Hold,sell
TSLA,2025-08-20,sell,sell,Hold,sell
TSLA,2025-08-21,sell,sell,Hold,sell
TSLA,2025-08-22,buy,sell,Hold,hold
TSLA,2025-08-25,buy,sell,Hold,hold
TSLA,2025-08-26,buy,sell,Hold,hold
TSLA,2025-08-27,hold,sell,Hold,sell
TSLA,2025-08-28,hold,sell,Hold,sell
TSLA,2025-08-29,sell,sell,Hold,sell
